id	x	y	cluster	weight<Links>	weight<Total link strength>
Ecology and Behavior of Spiders	0.0718	-0.1693	5	2477	234.3267
Transmission and Impact of Arboviruses in Livestock	0.4818	-0.222	9	2477	352.9335
Scientific Analysis of Artifacts and Artworks	-0.4173	-0.1269	2	2477	455.691
Cultural and Historical Architecture Identity	-0.1702	0.8225	3	2477	91.2665
Geopolitical Dynamics in the Arctic Region	-0.1596	0.5269	3	2477	416.0678
Arginine and Urea Cycle Disorders	0.6248	-0.3589	6	2477	883.3963
Toxicity and Bioactivity of Herbal Compounds	0.4669	-0.3472	7	2477	894.2379
Influence of Aristotle on Ancient and Medieval Thought	-0.1045	0.9584	3	2477	99.04
Advanced Topics in Number Theory	-1.1388	0.2906	4	2477	147.8417
Aromatic and Antiaromatic Compounds	-0.4238	-0.7152	7	2477	441.4447
Implantable Defibrillators and Arrhythmia Management	1.1189	0.0776	1	2477	256.7836
Arsenic Behavior and Remediation in Environments	-0.0404	-0.2331	5	2477	632.3006
Innovations in Art Education Pedagogy	-0.064	0.7817	3	2477	222.565
Art History and Visual Culture	-0.1062	0.9524	3	2477	106.9861
Arterial Stiffness and Cardiovascular Health	0.4752	0.0793	1	2477	429.2485
Cerebral and Spinal Vascular Malformations	1.0927	0.0915	1	2477	391.9761
Advancements in Hip and Knee Arthroplasty	1.0596	0.0954	1	2477	216.7204
Predictive Models in Healthcare	0.2229	0.1631	1	2477	854.7111
Socioeconomic and Environmental Impacts of Mining	-0.1526	0.6332	3	2477	338.186
Art, Culture, and Historical Intersections	-0.1194	0.9086	3	2477	174.634
Art Therapy and Mental Health Interventions	0.3951	0.4559	3	2477	410.6748
Asbestos Exposure and Mesothelioma Risk	0.6914	0.0204	1	2477	593.1315
Asphalt Pavement Performance and Modification	-0.8154	-0.2381	2	2477	281.0458
Asphaltene Behavior in Crude Oil Systems	-0.6531	-0.4109	2	2477	335.4511
Advanced Assembly and Disassembly Techniques	-0.8796	0.1365	4	2477	273.6427
Assisted Reproductive Technologies and Outcomes	0.7505	0.2665	1	2477	264.4376
Advanced Techniques in Pattern Mining	-0.8409	0.3313	4	2477	339.0338
Asteroids, Meteorites, and Solar System Evolution	-0.5118	-0.1269	2	2477	231.866
Advancements in Asthma and Allergy Management	0.8862	0.0276	1	2477	414.2617
Astrocyte Metabolism and Ketogenic Diet Effects	0.5168	-0.0453	8	2477	636.7328
Enantioselective Synthesis via Catalysis	-0.325	-0.7993	7	2477	354.7367
Chemical and Physical Properties of Aerosols	-0.3462	-0.1201	5	2477	284.6932
Atomic Force Microscopy in Nanomechanics	-0.6456	-0.3624	2	2477	780.7583
Atomic and Molecular Layer Deposition Techniques	-0.9025	-0.4657	2	2477	552.4827
Nuclear Structure and Reaction Dynamics	-0.9526	-0.2399	2	2477	122.708
Spectroscopy of Highly Ionized Atoms	-0.9229	-0.269	2	2477	304.3457
History and Development of Atomic Theory	-0.5036	-0.1253	2	2477	786.2913
Atopic Dermatitis and Pruritus	0.8872	-0.1365	1	2477	358.0423
Atrial Fibrillation and Anticoagulation	1.0734	0.0814	1	2477	344.5604
Hearing Loss and Tinnitus Mechanisms	0.5065	0.0367	8	2477	480.6124
Immersive Technologies in Education and Design	-0.4287	0.3994	4	2477	472.7601
Techniques in Ear Reconstruction and Prosthetics	1.1207	0.0467	1	2477	343.0912
Australian National Identity and History	-0.0976	0.9552	3	2477	215.7797
Stylometry and Authorship Analysis Techniques	-0.5237	0.4543	4	2477	450.1948
Research on Autism Spectrum Disorders and Interventions	0.4368	0.3223	3	2477	360.3079
Autobiographical Memory and Identity Development	0.1886	0.5986	3	2477	259.3207
Reflexivity and Ethics in Ethnographic Research	0.0247	0.778	3	2477	284.6753
Stress Analysis in Thick-Walled Cylinders	-0.5712	-0.0994	2	2477	618.2228
Pemphigus and Bullous Pemphigoid Pathogenesis	0.9872	-0.148	1	2477	242.8195
Autoimmune Hepatitis and Biliary Disorders	1.0417	-0.0878	1	2477	266.734
Autonomous Underwater Vehicles and Technologies	-0.8672	0.0884	4	2477	395.9518
Autophagy in Health and Disease	0.5756	-0.3715	6	2477	731.1429
Bird Behavior and Habitat Interactions	0.0121	-0.1082	5	2477	205.2195
Diversity and Ecology of Avian Parasites	0.3235	-0.1681	9	2477	318.0976
Viral Infections in Poultry	0.5858	-0.2652	9	2477	327.7147
Advanced Harmonic Analysis and Operator Theory	-1.1217	0.2824	4	2477	161.3769
Carborane Synthesis and Applications	-0.1238	-0.6046	7	2477	523.2322
Diversity and Morphology of Diatoms	-0.0966	-0.3718	5	2477	446.4305
Bacillus Species and Anthrax Research	0.4075	-0.2802	9	2477	608.0229
Bacteria in Cancer Treatment and Immunotherapy	0.6113	-0.3336	6	2477	691.1231
Mechanisms of Bacterial Gene Expression and Regulation	0.3803	-0.4283	6	2477	679.3921
Mechanisms and Applications of Bacterial Movement	-0.3251	-0.2768	2	2477	872.256
Bacteriophage Diversity and Applications	0.298	-0.309	9	2477	657.5003
Baculovirus Biology and Applications	0.3074	-0.3257	5	2477	446.5217
Properties and Operators in Banach Spaces	-1.1225	0.2852	4	2477	158.8999
Advanced Multi-Armed Bandit Strategies	-0.8409	0.3097	4	2477	412.0197
Bariatric Surgery and Obesity Management	1.1761	0.0793	1	2477	410.1393
Bark Beetle Ecology and Management	0.0934	-0.2473	5	2477	270.4015
Electrolyte Innovations for Lithium Batteries	-0.6806	-0.5397	2	2477	581.7275
Bayesian Networks and Belief Functions	-0.7419	0.2875	4	2477	366.3982
Dynamic Analysis of Bearing Systems	-1.0104	-0.1223	2	2477	195.5911
Bee Behavior, Health, and Pollination	0.0805	-0.1772	5	2477	422.7392
Behavioral Patterns and Reinforcement	0.1526	0.4231	3	2477	237.3303
Behçet's Disease and Ocular Inflammation	0.948	-0.0012	1	2477	275.7632
Treatment and Management of BPH	1.0521	-0.0605	1	2477	212.8442
Marine Benthic Community Dynamics	-0.0858	-0.1364	5	2477	251.0296
Synthesis and Biological Activity of Benzimidazoles	-0.0769	-0.7203	7	2477	416.8779
Detection and Effects of Beta-Agonists	0.2154	-0.4494	7	2477	456.2589
Gallium Oxide Semiconductor Research	-0.9888	-0.3518	2	2477	511.311
Synthesis and Applications of Beta-Lactams	-0.1221	-0.7528	7	2477	358.9497
Beyond Standard Model Physics	-0.95	-0.1861	2	2477	109.1917
Bibliometric Analysis and Scientific Publishing	0.0796	0.2644	3	2477	588.4139
Scalable Big Data Analytics and Warehousing	-0.8286	0.3523	4	2477	323.1548
Bile Acids in Liver and Gallstone Diseases	0.7434	-0.2679	6	2477	713.6384
Diagnosis and Treatment of Biliary Disorders	1.1949	-0.0146	1	2477	388.1764
Toxicity and Bioaccumulation in Aquatic Species	-0.0214	-0.1806	5	2477	375.5011
Synthesis and Bioactivity of Metal Complexes	-0.2388	-0.7	7	2477	417.9565
Bioactive Coumarins and Alkaloids in Plants	0.3406	-0.522	7	2477	774.5519
Synthesis and Biological Activity of Heterocycles	0.0346	-0.6794	7	2477	469.4588
Bioaerosol Impact on Health and Environment	0.1582	-0.032	5	2477	577.4767
Biochar's Impact on Soil and Environment	-0.2534	-0.197	5	2477	381.4262
Biodegradable Polymers and Their Applications	-0.3461	-0.5665	2	2477	311.9585
Deterioration and Conservation of Stone Monuments	-0.4306	-0.1734	5	2477	589.845
Biodiesel and Alternative Fuels in Engines	-0.6866	-0.269	2	2477	334.9753
Biodiversity Patterns and Conservation Strategies	-0.0535	-0.0812	5	2477	365.3615
Sustainable Bioenergy and Biomass Utilization	-0.2659	-0.045	5	2477	436.9203
Ethical Challenges in Medicine and Society	0.476	0.4529	3	2477	454.2041
Ethical Implications of Human Enhancement	0.2014	0.5821	3	2477	357.8572
Biofiltration for Odor and VOC Control	-0.2509	-0.2191	5	2477	384.6688
Biomimetic Adhesion and Surface Engineering	-0.4153	-0.325	2	2477	873.1749
Bioinspired Wing and Flight Dynamics	-0.6358	-0.068	2	2477	277.3618
Microbial Metal Recovery and Remediation	-0.4581	-0.3236	5	2477	386.746
Bioluminescence Mechanisms and Applications	0.1012	-0.4813	7	2477	880.9584
Catalytic Conversion of Biomass to Chemicals	-0.5088	-0.5822	2	2477	515.2478
Advanced Hydrogel Materials and Applications	-0.3296	-0.5088	2	2477	568.1396
Raman Spectroscopy in Biomedical Diagnostics	-0.0618	-0.3295	7	2477	736.1698
Microbial Biodegradation of Hydrocarbons	0.0171	-0.3152	5	2477	473.0922
Stability and Formulation of Biopharmaceuticals	0.3597	-0.4348	7	2477	752.1717
Biotin's Role in Enzymes and Biosynthesis	0.2323	-0.4971	7	2477	874.0483
Bipolar Disorder and Lithium Treatment	0.6728	0.3019	8	2477	285.0633
Avian Vocal Learning and Communication	0.1352	-0.0502	5	2477	522.7672
Factors Influencing Sex Ratios at Birth	0.4085	-0.0033	9	2477	827.354
Bismuth-Doped Materials and Luminescence	-0.7862	-0.4295	2	2477	668.9309
Bisphosphonates and Bone Metastasis Treatment	0.9061	-0.1811	1	2477	595.3021
Bivalve Ecology and Environmental Interactions	0.07	-0.1731	5	2477	298.8795
Diagnosis and Treatment of Bladder Cancer	1.057	-0.1452	1	2477	316.4528
Bladder Exstrophy and Fistula Management	1.0684	0.0858	1	2477	256.7642
Hemophilia, Von Willebrand, and Platelet Function	0.9216	-0.1543	1	2477	289.7091
Self-Assembly and Morphology of Block Copolymers	-0.5668	-0.5429	2	2477	451.5617
Blockchain Applications and Challenges	-0.7876	0.3353	4	2477	443.8832
Blood Donation Motivations and Barriers	0.7699	0.1735	1	2477	291.4031
Red Blood Cell Alloimmunization and Hemolytic Disease	0.9363	-0.0773	1	2477	289.9242
Blood-Brain Barrier Permeability and Regulation	0.6279	-0.2642	6	2477	863.0707
Management of Splenic Injuries and Ruptures	1.1846	0.0584	1	2477	422.5804
Techniques in Body Contouring Surgery	1.2384	0.066	1	2477	321.5602
Stress and Loosening in Bolted Joints	-0.8862	-0.0553	2	2477	323.6232
Diagnosis and Treatment of Bone Lesions	1.0532	-0.0132	1	2477	371.4631
Advancements in Satisfiability and Constraint Solving	-0.9721	0.3008	4	2477	389.7188
Borderline Personality Disorder Research	0.5267	0.4623	3	2477	201.7829
Properties and Applications of Boron Carbides	-0.8552	-0.455	2	2477	520.2362
Thermal and Mechanical Properties of Boron Nitride	-0.7473	-0.4664	2	2477	666.6766
Boronic Acid-Based Sensors and Applications	-0.2576	-0.6192	7	2477	608.0197
Dynamics and Interactions in Ultracold Gases	-0.7994	-0.2461	2	2477	376.8922
Plant-Based Insect Pest Control	0.179	-0.3498	5	2477	379.2423
Botulinum Toxin in Neurological Disorders	0.8385	0.0422	8	2477	487.5049
Control and Stabilization of Wave Equations	-1.1047	0.2374	4	2477	243.7418
Electroencephalography in Brain-Computer Interfaces	-0.1303	0.141	8	2477	536.7624
Radiotherapy and Treatment of Brain Metastases	1.039	-0.1535	1	2477	477.5539
Advancements in Breast Cancer Detection and Diagnosis	0.6676	0.0171	1	2477	427.1022
Techniques and Outcomes in Breast Reconstruction	1.2341	0.0373	1	2477	328.8786
Breastfeeding Practices and Influences	0.826	0.198	1	2477	383.025
Cultural and Political Shifts in Britain	-0.0855	0.9869	3	2477	182.3577
Photocaging Techniques and BET Bromodomain Inhibitors	0.3165	-0.4589	6	2477	922.6268
Congenital Cystic Malformations and Anomalies	1.1588	0.0178	1	2477	486.0483
Brown Fat and Metabolic Regulation	0.5914	-0.2509	6	2477	737.0218
Brucellosis Epidemiology and Diagnosis	0.659	-0.1132	9	2477	507.9013
Diversity and Phylogeny of Bryophytes	0.1012	-0.3918	5	2477	203.0302
Energy Efficiency in Building Design and Operation	-0.6648	-0.0214	2	2477	259.5752
Bullying, Victimization, and Social Influences	0.11	0.5632	3	2477	309.2681
Burkholderia and Related Bacterial Infections	0.6495	-0.1493	9	2477	481.5418
Comprehensive Burn Injury Treatment	1.02	0.049	1	2477	478.2144
Ethical Decision-Making in Business	-0.1366	0.6889	3	2477	220.9779
Cystic Fibrosis Pathophysiology and Treatment	0.748	-0.0667	1	2477	552.0848
Chalcogenide Thin-Film Photovoltaics	-0.9723	-0.4398	2	2477	486.92
Advanced CMOS and CCD Image Sensors	-1.0559	0.0197	4	2477	496.6181
Central Nervous System Tumor Research	1.0076	-0.0966	1	2477	555.0887
Carbon Dioxide Capture Technologies	-0.6489	-0.3777	2	2477	298.6129
Electrocatalytic CO2 Reduction to Fuels	-0.488	-0.5695	2	2477	597.4334
Catalytic CO2 Utilization in Organic Synthesis	-0.4556	-0.6979	7	2477	484.4896
Plant Responses to Elevated CO2 and Ozone	-0.0461	-0.2488	5	2477	358.8547
Chronic Obstructive Pulmonary Disease Studies	0.9005	0.1005	1	2477	317.804
Effects of COVID-19 on Emergency and Hospital Services	0.8701	0.1851	1	2477	677.3289
Design and Analysis of Cable Bridges	-0.8235	-0.0609	2	2477	179.6084
Advanced Caching in Network Systems	-1.0388	0.2799	4	2477	366.1574
Mathematical Analysis of Phase-Field Models	-1.018	0.0884	4	2477	298.6787
Mechanisms and Influences on Calcium Carbonate Formation	-0.4624	-0.3885	2	2477	767.9984
Pharmacokinetics and Effects of Calcium Channel Blockers	0.5984	-0.3103	7	2477	493.6295
Calcium and Inositol Signaling Pathways	0.4359	-0.3922	6	2477	789.5557
Thermodynamic Analysis in Chemical Processes	-0.3142	-0.4737	2	2477	699.7223
Historical Perspectives on Canadian Identity	-0.0949	0.9708	3	2477	197.5405
Mathematical Models of Tumor Growth	-0.4153	0.0683	4	2477	502.8897
Tumor Microenvironment and Stem Cells	0.6287	-0.3189	6	2477	688.9292
Quality of Life in Cancer Survivors	0.8923	0.0844	1	2477	489.2826
Genetic Variations in Cancer Risk	0.7594	-0.3456	6	2477	718.1443
Anesthesia's Impact on Cancer Progression	0.7666	-0.2367	6	2477	738.2372
Orthopedic Conditions in Dogs	0.72	-0.1494	9	2477	174.0371
Cannabinoid Effects and Therapeutic Potential	0.562	-0.0355	8	2477	790.8315
Capillary Electrophoresis in Analytical Chemistry	-0.0471	-0.5219	7	2477	265.4279
Diagnosis and Management of GI Bleeding	0.8579	0.0532	1	2477	336.1659
Carbon Fiber and Graphite Synthesis	-0.7974	-0.5037	2	2477	496.8707
Carbon Emissions and Economic Growth	-0.2892	0.3503	3	2477	323.136
Properties and Applications of Carbon Nanotubes	-0.6903	-0.402	2	2477	709.241
Design and Evaluation of Carbonic Anhydrase Inhibitors	0.306	-0.5458	7	2477	764.9017
Cardiac Arrhythmias and Electrophysiological Mechanisms	0.8133	-0.0112	1	2477	396.2956
Cardiac Glycosides and Na+/K+ ATPase	0.5547	-0.3878	6	2477	857.0154
Lipid Metabolism in Heart Disease	0.715	-0.3107	6	2477	789.6337
Advancements in Cardiac Pacing Technologies	1.1283	0.0734	1	2477	242.9636
Diagnosis and Treatment of Cardiac Tumors	1.1405	0.0116	1	2477	444.8009
Cardiac Arrest and Resuscitation Techniques	0.982	0.1696	1	2477	373.9172
Heart and Lung Transplantation Challenges	1.1316	0.0458	1	2477	411.9074
Coordination Between Primary and Specialist Care	0.8773	0.2342	1	2477	543.0925
Career Adaptability and Decision-Making	0.001	0.6813	3	2477	113.9822
Carotenoids in Nutrition and Health	0.407	-0.3369	5	2477	685.1443
Diagnosis and Treatment of Carotid Artery Disease	1.0353	0.1091	1	2477	507.2003
Case-Based Reasoning in Decision Support	-0.7371	0.3092	4	2477	344.097
Casimir Effects and Radiative Heat Transfer	-0.7908	-0.2822	2	2477	612.1735
Metal Complexes in Catalysis and Hydrolysis	-0.2479	-0.7109	7	2477	468.3493
Catalysts for Hydrogen and Methanol Production	-0.6425	-0.511	2	2477	417.7912
Catalytic Oxidation on Metal Surfaces	-0.6747	-0.5615	2	2477	471.5501
Cognitive Models and Category Learning	-0.1989	0.4065	3	2477	326.6812
Causal Inference in Observational Studies	0.2766	0.3202	3	2477	505.45
Caveolae and Caveolin Functions in Cells	0.6138	-0.3834	6	2477	820.1776
Celiac Disease Diagnosis and Management	0.9372	-0.0614	1	2477	388.318
Cell Cycle Dysregulation in Cancer	0.7275	-0.3566	6	2477	671.745
Cellular Mechanics and Adhesion Dynamics	0.4012	-0.3581	6	2477	743.1763
Cellular Automata in Computing and Design	-0.8493	0.1333	4	2477	615.0296
Resource Allocation in Cellular Networks	-1.1139	0.2216	4	2477	328.2425
Cellulose-Based Fiber and Polymer Composites	-0.5649	-0.4979	2	2477	394.1341
Nationalism and Identity in Central Europe	-0.1068	0.9584	3	2477	233.9797
