id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total doc. freq.>	score<Average pubyear>	score<Predicted clusters count>
endophytic fungi	-0.8143	0.3776	1	35	76	35	2014.54285714286	2
endophytic fungus	-0.6305	0.4579	1	14	36	27	2013.81481481481	1
energy	0.9306	-0.2378	7	44	118	23	2016	7
energy recovery	1.3424	-0.5174	5	30	102	21	2017.09523809524	5
enterobacter aerogenes	0.8631	-0.2618	5	66	252	53	2015.30188679245	4
enzymatic catalysis	-0.9871	0.1719	2	26	68	20	2015.5	3
enzymatic digestibility	0.9923	0.8867	4	23	66	24	2015.16666666667	4
enzymatic hydrolysis	0.8595	0.7105	4	286	3150	731	2014.84131326949	18
enzymatic polymerization	-0.9438	0.1319	2	17	46	21	2015	2
enzymatic saccharification	1.0191	0.7409	4	92	440	108	2014.7962962963	6
enzymatic synthesis	-1.0035	0.1268	2	51	156	75	2015	4
enzyme	-0.3371	0.2419	1	130	428	103	2014.73786407767	7
enzyme activity	-0.229	0.0067	6	102	290	78	2014.29487179487	8
enzyme catalysis	-1.3258	-0.2231	2	97	760	191	2015.33507853403	9
enzyme engineering	-1.0836	-0.0498	2	28	70	21	2016.42857142857	3
enzyme hydrolysis	1.1064	0.548	4	34	88	22	2014.5	2
enzyme immobilization	-0.9793	0.0343	2	79	272	97	2015.46391752577	6
enzyme kinetics	-0.6473	0.2146	2	42	94	27	2014.77777777778	2
enzyme production	-0.2073	0.5541	1	88	334	66	2014.16666666667	4
enzymes	-0.9456	-0.0053	2	183	1078	234	2015.15811965812	12
epoxidation	-1.2136	-0.1928	2	34	80	23	2015.17391304348	3
epoxide hydrolase	-1.2779	-0.1339	2	20	66	25	2014.52	0
epsilon-poly-l-lysine	-0.1738	0.0425	7	29	96	31	2014.93548387097	0
erythritol	0.1226	-0.3932	6	40	188	39	2016	1
escherichia coli	-0.3307	-0.3299	3	346	2528	769	2014.97919375813	21
esterase	-0.8778	0.1849	2	46	120	33	2014.54545454545	2
esterification	-0.8602	0.1143	2	104	622	174	2014.40229885057	10
ethanol	0.7789	0.2734	4	407	4554	939	2014.40042598509	23
ethanol fermentation	0.8398	0.4323	4	130	562	169	2014.52071005917	9
ethanol production	0.7424	0.415	4	157	686	178	2014.48314606742	4
ethanol tolerance	0.3246	0.3432	6	43	124	26	2014.11538461538	1
ethyl acetate	0.0619	-0.0563	7	26	90	21	2014.71428571429	2
ethylene glycol	0.1487	-0.7347	4	24	84	20	2016.05	4
evolutionary engineering	0.9589	0.2701	4	35	140	26	2014.5	2
exopolysaccharide	-0.1876	-0.0727	3	42	116	31	2013.61290322581	3
exopolysaccharides	-0.2894	-0.3109	3	35	72	20	2016.05	3
experimental design	-0.1557	0.4572	1	63	172	43	2014.51162790698	4
expression	-0.7265	0.4665	1	75	300	77	2014.11688311688	4
extracellular expression	-0.6696	0.3724	1	23	78	20	2014.95	3
extraction	0.1439	-0.2617	7	100	294	68	2015.55882352941	8
extractive fermentation	0.1805	-0.014	7	46	118	25	2015.12	3
factorial design	0.097	-0.0141	1	37	92	26	2015.30769230769	6
fatty acid	-0.0154	-0.5626	6	80	250	67	2014.85074626866	7
fatty acids	-0.2144	-0.5654	6	114	380	100	2014.51	8
fed-batch	0.0444	-0.2114	3	166	608	137	2014.59854014599	8
fed-batch cultivation	-0.6875	-0.1162	2	42	114	36	2014.55555555556	4
fed-batch culture	-0.1161	-0.2131	6	98	342	80	2013.8	7
fed-batch fermentation	-0.0857	-0.1037	3	164	540	144	2015.02777777778	6
fermentable sugar	1.2926	0.8231	4	29	88	25	2013.92	4
fermentable sugars	0.6885	0.2719	7	42	132	31	2015.90322580645	6
fermentation	0.3249	0.0705	7	557	6650	1434	2014.8479776848	40
fermentation broth	0.4221	0.0964	7	39	138	40	2015.325	4
fermentation inhibitors	1.0468	0.2987	4	36	88	20	2014.95	2
fermentation optimization	-0.5903	-0.137	1	53	140	42	2015.35714285714	5
fermentative hydrogen production	0.9533	-0.4028	5	38	92	27	2014.11111111111	3
ferulic acid	-0.6948	0.3206	2	58	192	51	2014.76470588235	3
feruloyl esterase	-0.6454	0.6567	2	37	120	24	2014.75	1
filamentous fungi	-0.0445	0.2105	1	95	312	73	2014.64383561644	6
flavonoid	-1.2399	0.1333	2	22	64	20	2014.35	2
flavonoids	-0.9472	-0.2665	2	32	100	33	2014.24242424242	2
flocculation	0.2605	0.2106	7	44	108	22	2014.95454545455	3
flow chemistry	-1.435	-0.2173	2	20	86	20	2017.65	0
flow cytometry	0.3189	-0.2443	6	42	96	30	2014.93333333333	6
flux balance analysis	0.1883	-0.3471	3	53	152	42	2015.2619047619	3
food waste	1.1272	-0.3595	5	121	656	136	2016.01470588235	8
formate	0.5904	-0.5589	5	36	86	20	2015.1	3
formate dehydrogenase	-0.3805	-0.38	2	55	146	41	2015.48780487805	5
fractionation	0.8258	0.5493	4	41	128	22	2013.36363636364	3
fructooligosaccharides	-0.4678	0.3747	2	41	192	48	2014.625	0
fructose	0.0982	0.1591	6	71	220	48	2014.83333333333	5
fructosyltransferase	-0.4222	0.3764	2	29	94	23	2015.04347826087	0
ftir	-0.3232	0.1184	3	64	206	53	2014.43396226415	11
fuel ethanol	0.5963	1.0062	4	28	66	20	2014.05	1
fumaric acid	0.3655	0.0159	7	54	258	62	2015.37096774194	4
fungi	-0.484	0.3154	1	103	332	90	2014.9	6
furfural	0.5491	-0.0386	4	88	318	67	2015.5671641791	6
fusarium oxysporum	-0.5814	0.8028	1	35	96	22	2012.86363636364	3
fusion protein	-0.7651	-0.0196	1	25	62	29	2014.75862068966	3
gaba	-0.3838	-0.3672	3	30	82	21	2015.7619047619	0
galactose	0.8954	-0.3042	5	63	196	39	2015.58974358974	6
gamma-aminobutyric acid	-0.3831	-0.3203	3	50	192	48	2015.14583333333	3
ganoderma lucidum	-0.373	0.3099	1	42	124	28	2014	1
gas stripping	1.019	-0.0295	7	39	148	28	2015.53571428571	2
gc-ms	-0.4018	-0.3741	6	29	66	23	2014.13043478261	5
gene expression	-0.2477	0.0019	1	112	308	95	2015.42105263158	10
gene knockout	-0.3918	-0.5413	3	33	86	21	2015.28571428571	3
genetic algorithm	-0.1508	0.2874	1	52	202	38	2014.28947368421	5
genetic engineering	-0.3258	-0.1595	1	96	270	67	2015.22388059702	7
genome shuffling	0.114	0.3852	7	52	136	43	2014.39534883721	1
geraniol	-1.2313	-0.5464	6	24	88	20	2015.75	0
ginsenoside	-0.7537	0.5612	1	18	82	27	2014.40740740741	0
glucoamylase	-0.2439	0.691	1	58	226	49	2014.34693877551	4
gluconacetobacter xylinus	-0.0742	0.3598	3	38	146	34	2015	1
gluconic acid	-0.0967	0.0913	6	53	150	36	2015.88888888889	5
gluconobacter oxydans	-0.1542	-0.5154	3	53	178	47	2015.06382978723	1
glucose	0.4981	0.0088	5	212	1130	217	2014.73271889401	11
glucose dehydrogenase	-0.5738	-0.1943	2	31	86	28	2015.5	5
glucose oxidase	-0.378	0.229	6	30	98	28	2015.10344827586	3
glutamate	-0.4252	-0.3898	3	33	94	22	2014.63636363636	2
glutamate decarboxylase	-0.6638	-0.3142	3	27	106	26	2014.53846153846	0
glutamic acid	-0.1149	-0.3588	3	38	86	21	2014.80952380952	2
glutathione	0.1997	-0.1301	3	45	126	37	2013.81081081081	2
glycerol	0.2005	-0.4963	3	296	1932	400	2014.2425	12
glycolysis	-0.0443	-0.5443	3	33	84	20	2015.55	3
glycosylation	-1.0102	0.1062	2	78	262	83	2014.78313253012	3
glycosyltransferase	-1.1207	0.0903	2	34	92	38	2015.92105263158	2
gold nanoparticles	-1.0047	0.3533	1	28	128	46	2014.10869565217	4
green chemistry	-1.0399	0.0278	2	76	258	72	2015.97222222222	8
green synthesis	-0.9071	0.3525	1	37	132	39	2015.23076923077	3
growth	-0.0553	-0.1231	1	55	120	34	2014.05882352941	5
growth kinetics	-0.1029	-0.1842	3	52	138	31	2014.93548387097	4
h-2 production	0.6455	-0.655	5	32	84	36	2015.44444444444	3
haematococcus pluvialis	0.0385	-0.9131	6	30	162	48	2015.22916666667	1
hairy roots	-0.7466	0.1664	1	27	86	38	2013.68421052632	1
hemicellulase	0.2008	1.0505	1	44	148	28	2014.17857142857	1
hemicellulose	0.5159	0.4983	4	97	392	74	2014.59459459459	5
hemicellulosic hydrolysate	0.8601	0.8896	4	37	158	29	2014.72413793103	1
heterologous expression	-0.6404	0.0858	1	110	418	123	2015.0487804878	7
high cell density	-0.3111	-0.1964	3	41	98	24	2014.125	6
high-throughput screening	-0.5018	-0.1509	2	70	178	42	2015.47619047619	3
